museum,title,date,url,description,scraped_at
The Met,Man Ray: When Objects Dream,Man Ray: When Objects Dream,https://www.metmuseum.org/exhibitions/man-ray-when-objects-dream,,2025-09-29T02:23:42.844406
The Met,Superfine: Tailoring Black Style,Superfine: Tailoring Black Style,https://www.metmuseum.org/exhibitions/superfine-tailoring-black-style,,2025-09-29T02:23:42.844406
The Met,"The Roof Garden Commission: Jennie C. Jones, Ensemble","The Roof Garden Commission: Jennie C. Jones, Ensemble",https://www.metmuseum.org/exhibitions/the-roof-garden-commission-jennie-c-jones,,2025-09-29T02:23:42.844406
The Met,"Recasting the Past: The Art of Chinese Bronzes, 1100–1900","Recasting the Past: The Art of Chinese Bronzes, 1100–1900",https://www.metmuseum.org/exhibitions/recasting-the-past-the-art-of-chinese-bronzes-1100-1900,,2025-09-29T02:23:42.844406
The Met,Allegory and Abstraction: Selections from the Department of Drawings and Prints,Allegory and Abstraction: Selections from the Department of Drawings and Prints,https://www.metmuseum.org/exhibitions/allegory-and-abstraction-selections-from-the-department-of-drawings-and-prints,,2025-09-29T02:23:42.844406
The Met,"The Genesis Facade Commission: Jeffrey Gibson, The Animal That Therefore I Am","The Genesis Facade Commission: Jeffrey Gibson, The Animal That Therefore I Am",https://www.metmuseum.org/exhibitions/the-facade-commission-jeffrey-gibson,,2025-09-29T02:23:42.844406
The Met,Man Ray: When Objects Dream,Man Ray: When Objects Dream,https://www.metmuseum.org/exhibitions/man-ray-when-objects-dream,,2025-09-29T02:23:42.844406
The Met,Witnessing Humanity: The Art of John Wilson,Witnessing Humanity: The Art of John Wilson,https://www.metmuseum.org/exhibitions/witnessing-humanity-the-art-of-john-wilson,,2025-09-29T02:23:42.844406
The Met,"Recasting the Past: The Art of Chinese Bronzes, 1100–1900","Recasting the Past: The Art of Chinese Bronzes, 1100–1900",https://www.metmuseum.org/exhibitions/recasting-the-past-the-art-of-chinese-bronzes-1100-1900,,2025-09-29T02:23:42.844406
The Met,The Magic of Marbling: The Art of Karli Frigge,The Magic of Marbling: The Art of Karli Frigge,https://www.metmuseum.org/exhibitions/the-magic-of-marbling-the-art-of-karli-frigge,,2025-09-29T02:23:42.844406
The Met,P. S. Art 2025: Celebrating the Creative Spirit of New York City Kids,P. S. Art 2025: Celebrating the Creative Spirit of New York City Kids,https://www.metmuseum.org/exhibitions/p-s-art-2025-celebrating-the-creative-spirit-of-new-york-city-kids,,2025-09-29T02:23:42.844406
The Met,"The Roof Garden Commission: Jennie C. Jones, Ensemble","The Roof Garden Commission: Jennie C. Jones, Ensemble",https://www.metmuseum.org/exhibitions/the-roof-garden-commission-jennie-c-jones,,2025-09-29T02:23:42.844406
The Met,Superfine: Tailoring Black Style,Superfine: Tailoring Black Style,https://www.metmuseum.org/exhibitions/superfine-tailoring-black-style,,2025-09-29T02:23:42.844406
The Met,Baseball Cards from the Collection of Jefferson R. Burdick,Baseball Cards from the Collection of Jefferson R. Burdick,https://www.metmuseum.org/exhibitions/baseball-cards-from-the-collection-of-jefferson-r-burdick-2025,,2025-09-29T02:23:42.844406
The Met,Casa Susanna,Casa Susanna,https://www.metmuseum.org/exhibitions/casa-susanna,,2025-09-29T02:23:42.844406
The Met,The Magical City: George Morrison’s New York,The Magical City: George Morrison’s New York,https://www.metmuseum.org/exhibitions/the-magical-city-george-morrison-s-new-york,,2025-09-29T02:23:42.844406
The Met,Emily Sargent: Portrait of a Family,Emily Sargent: Portrait of a Family,https://www.metmuseum.org/exhibitions/emily-sargent-portrait-of-a-family,,2025-09-29T02:23:42.844406
The Met,Making It Modern: European Ceramics from the Martin Eidelberg Collection,Making It Modern: European Ceramics from the Martin Eidelberg Collection,https://www.metmuseum.org/exhibitions/making-it-modern-european-ceramics-from-the-martin-eidelberg-collection,,2025-09-29T02:23:42.844406
The Met,Iba Ndiaye: Between Latitude and Longitude,Iba Ndiaye: Between Latitude and Longitude,https://www.metmuseum.org/exhibitions/iba-n-diaye-between-latitude-and-longitude,,2025-09-29T02:23:42.844406
The Met,Lorna Simpson: Source Notes,Lorna Simpson: Source Notes,https://www.metmuseum.org/exhibitions/lorna-simpson-source-notes,,2025-09-29T02:23:42.844406
The Met,Celebrating the Year of the Snake,Celebrating the Year of the Snake,https://www.metmuseum.org/exhibitions/celebrating-the-year-of-the-snake,,2025-09-29T02:23:42.844406
The Met,Colorful Korea: The Lea R. Sneider Collection,Colorful Korea: The Lea R. Sneider Collection,https://www.metmuseum.org/exhibitions/colorful-korea,,2025-09-29T02:23:42.844406
The Met,Afterlives: Contemporary Art in the Byzantine Crypt,Afterlives: Contemporary Art in the Byzantine Crypt,https://www.metmuseum.org/exhibitions/afterlives-contemporary-art-in-the-byzantine-crypt,,2025-09-29T02:23:42.844406
The Met,The Jousting Armor of Philip I of Castile,The Jousting Armor of Philip I of Castile,https://www.metmuseum.org/exhibitions/the-jousting-armor-of-philip-i-of-castile,,2025-09-29T02:23:42.844406
The Met,Ganesha: Lord of New Beginnings,Ganesha: Lord of New Beginnings,https://www.metmuseum.org/exhibitions/ganesha,,2025-09-29T02:23:42.844406
The Met,A Passion for Jade: The Bishop Collection,A Passion for Jade: The Bishop Collection,https://www.metmuseum.org/exhibitions/passion-for-jade,,2025-09-29T02:23:42.844406
The Met,"Embracing Color: Enamel in Chinese Decorative Arts, 1300–1900","Embracing Color: Enamel in Chinese Decorative Arts, 1300–1900",https://www.metmuseum.org/exhibitions/embracing-color,,2025-09-29T02:23:42.844406
The Met,Arts of Oceania,Arts of Oceania,https://www.metmuseum.org/exhibitions/arts-of-oceania,,2025-09-29T02:23:42.844406
The Met,Arts of the Ancient Americas,Arts of the Ancient Americas,https://www.metmuseum.org/exhibitions/arts-of-the-ancient-americas,,2025-09-29T02:23:42.844406
The Met,Arts of Africa,Arts of Africa,https://www.metmuseum.org/exhibitions/arts-of-africa,,2025-09-29T02:23:42.844406
The Met,Defensive Display: Shields from The Met Collection,Defensive Display: Shields from The Met Collection,https://www.metmuseum.org/exhibitions/defensive-display-shields-from-the-met-collection,,2025-09-29T02:23:42.844406
The Met,The American Wing at 100,The American Wing at 100,https://www.metmuseum.org/exhibitions/the-american-wing-at-100,,2025-09-29T02:23:42.844406
The Met,The Calculated Curve: Eighteenth-Century American Furniture,The Calculated Curve: Eighteenth-Century American Furniture,https://www.metmuseum.org/exhibitions/the-calculated-curve-eighteenth-century-american-furniture,,2025-09-29T02:23:42.844406
The Met,Cycladic Art,Cycladic Art,https://www.metmuseum.org/exhibitions/cycladic-art,,2025-09-29T02:23:42.844406
The Met,Art of Native America: The Charles and Valerie Diker Collection,Art of Native America: The Charles and Valerie Diker Collection,https://www.metmuseum.org/exhibitions/art-of-native-america-diker-collection,,2025-09-29T02:23:42.844406
The Met,Renaissance Masterpieces of Judaica: The Mishneh Torah and The Rothschild Mahzor,Renaissance Masterpieces of Judaica: The Mishneh Torah and The Rothschild Mahzor,https://www.metmuseum.org/exhibitions/renaissance-masterpieces,,2025-09-29T02:23:42.844406
The Met,Michael Lin: Pentachrome,Michael Lin: Pentachrome,https://www.metmuseum.org/exhibitions/michael-lin-pentachrome,,2025-09-29T02:23:42.844406
The Met,Before Yesterday We Could Fly: An Afrofuturist Period Room,Before Yesterday We Could Fly: An Afrofuturist Period Room,https://www.metmuseum.org/exhibitions/afrofuturist-period-room,,2025-09-29T02:23:42.844406
The Met,Divine Egypt,Divine Egypt,https://www.metmuseum.org/exhibitions/divine-egypt,,2025-09-29T02:23:42.844406
The Met,"Spectrum of Desire: Love, Sex, and Gender in the Middle Ages","Spectrum of Desire: Love, Sex, and Gender in the Middle Ages",https://www.metmuseum.org/exhibitions/spectrum-of-desire-love-sex-and-gender-in-the-middle-ages,,2025-09-29T02:23:42.844406
