museum,title,date,url,description,scraped_at
The Met,Emily Sargent: Portrait of a Family,Emily Sargent: Portrait of a Family,https://www.metmuseum.org/exhibitions/emily-sargent-portrait-of-a-family,"Emily Sargent’s watercolors—recently rediscovered—capture the world with a clarity and expressiveness that were all her own. This exhibition brings her luminous work into focus, situating it within the creative, complex world of the Sargent family.",2025-09-29T00:29:23.679727
The Met,Making It Modern: European Ceramics from the Martin Eidelberg Collection,Making It Modern: European Ceramics from the Martin Eidelberg Collection,https://www.metmuseum.org/exhibitions/making-it-modern-european-ceramics-from-the-martin-eidelberg-collection,This richly illustrated Bulletin offers a closer look at dozens of astonishingly creative ceramics and reflects on how the aspiration to create works that link the past to a vibrant future has continued resonance today.,2025-09-29T00:29:23.679727
The Met,Iba Ndiaye: Between Latitude and Longitude,Iba Ndiaye: Between Latitude and Longitude,https://www.metmuseum.org/exhibitions/iba-n-diaye-between-latitude-and-longitude,"Between Latitude and Longitude constitutes the inaugural exhibition in the Michael C. Rockefeller Wing’s in-focus gallery, part of the complete major reenvisioning of The Met collection of African art. In celebration of the initiative, an artistic landmark work by Senegalese Modernist Iba Ndiaye (1928–2008), Tabaski III, a gift to The Met, is being ushered into the collection. Since the 1982 opening of the Rockefeller Wing, a canon of African Modernist painting has taken shape, and Ndiaye emerge",2025-09-29T00:29:23.679727
The Met,Lorna Simpson: Source Notes,Lorna Simpson: Source Notes,https://www.metmuseum.org/exhibitions/lorna-simpson-source-notes,This revelatory look at the paintings of Lorna Simpson examines this significant new development in her practice over the last decade.,2025-09-29T00:29:23.679727
The Met,Celebrating the Year of the Snake,Celebrating the Year of the Snake,https://www.metmuseum.org/exhibitions/celebrating-the-year-of-the-snake,"The traditional East Asian lunar calendar consists of a repeating twelve-year cycle, with each year corresponding to one of the twelve animals in the Chinese zodiac. The association of these creatures with the Chinese calendar began in the third century BCE and became firmly established by the first century CE. The twelve animals are, in sequence: rat, ox, tiger, rabbit, dragon, snake, horse, ram, monkey, rooster, dog, and pig. Each is believed to embody certain traits that are manifested in the",2025-09-29T00:29:23.679727
The Met,Colorful Korea: The Lea R. Sneider Collection,Colorful Korea: The Lea R. Sneider Collection,https://www.metmuseum.org/exhibitions/colorful-korea,"Over the course of forty years, Lea R. Sneider (1925–2020) formed a significant collection of Korean art that challenged established norms. While appreciating literati art, she was particularly drawn to lively and colorful forms connected to everyday life, resulting in a diverse collection that illustrates Korea’s vibrant material culture. This exhibition features a substantial gift and loans from the Lea R. Sneider Collection, generously provided by her children. Through approximately 100 piece",2025-09-29T00:29:23.679727
The Met,Afterlives: Contemporary Art in the Byzantine Crypt,Afterlives: Contemporary Art in the Byzantine Crypt,https://www.metmuseum.org/exhibitions/afterlives-contemporary-art-in-the-byzantine-crypt,Artists and artisans have been intrigued and inspired by the topic of death and visions of life thereafter for millennia. Afterlives: Contemporary Art in the Byzantine Crypt brings together modern-day works that reckon with death and visualize the afterlife and Byzantine Egyptian funerary art and artifacts in part of the Mary and Michael Jaharis Galleries known as the Byzantine Crypt (Gallery 302). The intimate and enchanting gallery with exposed brick walls and arched portals was unveiled in th,2025-09-29T00:29:23.679727
The Met,The Jousting Armor of Philip I of Castile,The Jousting Armor of Philip I of Castile,https://www.metmuseum.org/exhibitions/the-jousting-armor-of-philip-i-of-castile,"Among the various mock combats fought by knights and noblemen in tournaments, the joust was one of the most spectacular. The joust of peace required highly specialized armor that was unsuited to any other use, and usually made by the greatest armorers due to the exceptional metalworking skills required. This special installation features an armor for the joust of peace of Philip I of Castile (1478–1506) on loan from the Imperial Armoury, Kunsthistorisches Museum Vienna.",2025-09-29T00:29:23.679727
The Met,Ganesha: Lord of New Beginnings,Ganesha: Lord of New Beginnings,https://www.metmuseum.org/exhibitions/ganesha,"Ganesha, the son of Shiva and Parvati, is a Brahmanical (Hindu) diety known to clear a path to the gods and remove obstacles in everyday life. He is loved by his devotees (bhakti) for his many traits, including his insatiable appetite for sweet cakes and his role as a dispenser of magic, surprise, and laughter. However, Ganesha is also the lord of ganas (nature deities) and can take on a fearsome aspect in this guise.

The seventh- to twenty-first-century works in this exhibition trace his depic",2025-09-29T00:29:23.679727
The Met,A Passion for Jade: The Bishop Collection,A Passion for Jade: The Bishop Collection,https://www.metmuseum.org/exhibitions/passion-for-jade,"More than a hundred remarkable objects from the Heber Bishop collection, including carvings of jade, the most esteemed stone in China, and many other hardstones, are on view in this focused presentation. The refined works represent the sophisticated art of Chinese gemstone carvers during the Qing dynasty (1644–1911) as well as the highly accomplished skills of Mogul Indian (1526–1857) craftsmen, which provided an exotic inspiration to their Chinese counterparts. Also on view are a set of Chinese",2025-09-29T00:29:23.679727
The Met,"Embracing Color: Enamel in Chinese Decorative Arts, 1300–1900","Embracing Color: Enamel in Chinese Decorative Arts, 1300–1900",https://www.metmuseum.org/exhibitions/embracing-color,"Enamel decoration is a significant element of Chinese decorative arts that has long been overlooked. This exhibition reveals the aesthetic, technical, and cultural achievement of Chinese enamel wares by demonstrating the transformative role of enamel during the Ming (1368–1644) and Qing (1644–1911) dynasties. The first transformational moment occurred in the late 14th to 15th century, when the introduction of cloisonné enamel from the West, along with the development of porcelain with overglaze ",2025-09-29T00:29:23.679727
The Met,Arts of Oceania,Arts of Oceania,https://www.metmuseum.org/exhibitions/arts-of-oceania,"The Met’s Arts of Oceania galleries returned in May 2025, in a reimagined Michael C. Rockefeller Wing. Following a multiyear renovation, the new galleries feature over 650 stellar works from the Museum’s remarkable collection of Oceanic art, drawn from over 140 distinct cultures in a region of astonishing diversity that covers almost one-third of the earth’s surface and continues to capture the global imagination. These include monumental artworks from the large island of New Guinea and the coas",2025-09-29T00:29:23.679727
The Met,Arts of the Ancient Americas,Arts of the Ancient Americas,https://www.metmuseum.org/exhibitions/arts-of-the-ancient-americas,"The new installation is the result of close collaboration with colleagues across the country and Latin America through a series of conversations around the artworks and the continuing importance of these ancient traditions in the Americas today. The reimagined galleries reflect recent advances in scholarship, incorporating knowledge about artists, their materials, their techniques, and their social roles and newly revealed relationships between regions. The new galleries also expand the scope of",2025-09-29T00:29:23.679727
The Met,Arts of Africa,Arts of Africa,https://www.metmuseum.org/exhibitions/arts-of-africa,"The Met’s Arts of Africa galleries returned in May 2025, in a reimagined Michael C. Rockefeller Wing. Following a multiyear renovation, the reenvisioned installation reintroduces visitors to the Museum’s collection of sub-Saharan African art through a selection of some 500 works organized to survey major artistic movements and living traditions from across the subcontinent. The new galleries present original creations from the Middle Ages to the present, and one-fourth of the works are on displa",2025-09-29T00:29:23.679727
The Met,Defensive Display: Shields from The Met Collection,Defensive Display: Shields from The Met Collection,https://www.metmuseum.org/exhibitions/defensive-display-shields-from-the-met-collection,"Throughout history, the shield has been one of the most common and versatile forms of personal defense, used by foot soldiers and kings alike. Its ubiquity and enduring importance are reflected in myth, legend, art, song, and poetry. Highlighting selected treasures from The Met’s renowned collection of arms and armor, Defensive Display features shields from around the world and a range of time periods, in various forms, sizes, and materials.",2025-09-29T00:29:23.679727
The Met,The American Wing at 100,The American Wing at 100,https://www.metmuseum.org/exhibitions/the-american-wing-at-100,,2025-09-29T00:29:23.679727
The Met,The Calculated Curve: Eighteenth-Century American Furniture,The Calculated Curve: Eighteenth-Century American Furniture,https://www.metmuseum.org/exhibitions/the-calculated-curve-eighteenth-century-american-furniture,"The 2024 reinstallation of the Anthony W. and Lulu C. Wang Galleries of Eighteenth-Century American Art of The Met’s American Wing elevates a pivotal moment in American furniture design between 1720 and 1770. This fresh installation encourages us to look closer at the materials and sculptural expression of this period, as well as the sensuality and ergonomics embedded in furniture design.",2025-09-29T00:29:23.679727
The Met,Cycladic Art,Cycladic Art,https://www.metmuseum.org/exhibitions/cycladic-art,Cycladic Art: The Leonard N. Stern Collection on loan from the Hellenic Republic This beautifully illustrated volume presents highlights of the ancient Cycladic antiquities from the Leonard N. Stern Collection.,2025-09-29T00:29:23.679727
The Met,Art of Native America: The Charles and Valerie Diker Collection,Art of Native America: The Charles and Valerie Diker Collection,https://www.metmuseum.org/exhibitions/art-of-native-america-diker-collection,"The brilliance of Native American artists from across the United States and Canada is affirmed in this installation of historical and contemporary works. Honoring the diversity of Native life, the display reveals complex perspectives on America’s past and the deep significance of these artworks to Native and non-Native communities in the present. The work of more than fifty Indigenous groups is represented, as well as major Native American aesthetic forms: painting, drawing, sculpture, textiles,",2025-09-29T00:29:23.679727
The Met,Renaissance Masterpieces of Judaica: The Mishneh Torah and The Rothschild Mahzor,Renaissance Masterpieces of Judaica: The Mishneh Torah and The Rothschild Mahzor,https://www.metmuseum.org/exhibitions/renaissance-masterpieces,"The Jewish communities of northern Italy were active participants in the extraordinary flourishing of arts and culture that define the Renaissance. This installation of two rare and sumptuous Hebrew manuscripts explores the fascinating cross-cultural interaction between those Jewish communities and their Christian and humanist surroundings in the fifteenth century. A Jewish scribe and Christian artist working in tandem produced these monumental works of art that bear witness to the prosperity, p",2025-09-29T00:29:23.679727
The Met,Michael Lin: Pentachrome,Michael Lin: Pentachrome,https://www.metmuseum.org/exhibitions/michael-lin-pentachrome,"Michael Lin’s site-specific installation Pentachrome brings contemporary art to the Museum’s Great Hall Escalator for the first time. Inspired by The Met collection and the building’s architecture, Pentachrome invites visitors to reconsider the Museum’s Great Hall, its Balcony, and the surrounding art from a fresh perspective.",2025-09-29T00:29:23.679727
